state,district,name,address,lat,lng
Johor,Johor Bahru,ZUS COFFEE – AEON MALL TEBRAU CITY,"FK2, First Floor, Aeon Tebrau City Shopping Centre, 3, Persiaran Desa Tebrau, Taman Desa Tebrau, 81100 Johor Bahru",1.5490688,103.7959073
Melaka,Alor Gajah,"FREEPORT A’FAMOSA, MELAKA","Freeport A’Famosa Outlet, Lot 28, Jalan Kemus, Simpang Ampat, 78000 Alor Gajah, Melaka",2.4441332,102.2057982
Selangor,Gombak,ZUS COFFEE – ECO SKY,"G-30, Eco Sky, No. 972, Batu 6 1/2, Jalan Ipoh, 68100, Kuala Lumpur",3.250059,101.6493968
Melaka,Melaka Tengah,ZUS COFFEE – AEON MALL AYER KEROH MELAKA,"G-37, Ground Floor, Aeon Mall Melaka Ayer Keroh, alan Tun Abdul Razak, 75450 Melaka",2.2148518,102.2463583
Selangor,Petaling,ZUS COFFEE – THE GLENZ @GLENMARIE,"G-3B (Ground Floor), Subplace Boulevard Pusat Kormersil Vestland, No.6, Jalan Juruanalisis U1/35, Seksyen U1, 40150 Shah Alam, Selangor Darul Ehsan",3.0812302,101.5624478
Selangor,Petaling,ZUS COFFEE – CITTA MALL,"G-48 7 G-48A, Ground Floor, Citta Mall, 1, Jalan PJU 1a/48, Ara Damansara, 47301 Petaling Jaya, Selangor",3.1121867,101.5790712
Sabah,Kota Kinabalu,ZUS COFFEE – IMAGO SHOPPING MALL,"G-51. Imago Shopping Mall, KK Times Square, Phase 2, Off Coastal Highway, 88100 Kota Kinabalu, Sabah.",5.9708621,116.0663544
Melaka,Melaka Tengah,ZUS COFFEE – ELEMENTX @ HATTEN CITY,"G13, Ground Floor, ElementX @ Hatten City, Jalan Melaka Raya, 23, Taman Melaka Raya, 75000 Melaka",2.1826003,102.2625
Perak,Kinta,ZUS COFFEE – AEON MALL IPOH KLEBANG,"G21, Ground Floor, AEON Mall Ipoh Klebang, Laluan Klebang Restu 40, 31200 Chemor, Perak",4.6800341,101.1313595
Johor,Kluang,ZUS COFFEE – LOTUS’S KLUANG,"G7. Lotus’s Kluang, H.S(D) 63272, PTD 78094, Mukim Kluang, Daerah Kluang, 86000 Johor.",2.0338729,103.3198587
W.P. Kuala Lumpur,W.P. Kuala Lumpur,ZUS COFFEE – SETAPAK CENTRAL MALL,"GK-08, Ground Floor, 67, Jln Taman Ibu Kota, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan",3.2053642,101.7200682
Kelantan,Kota Bharu,ZUS COFFEE – KB MALL,"GK-33, 33A, 41 & 42, Ground Floor, KB Mall, 1, Jalan Hamzah, Seksyen 16, 15050 Kota Bharu, Kelantan",6.1177385,102.2410789
Sarawak,Kuching,ZUS COFFEE – SARADISE KUCHING,Ground Floor Lot 19717 Sl 39 Blk C1 Saradise Shophouses Jin Stutong 93350 Kuching Sarawak.,1.5051387,110.3594189
Sarawak,Samarahan,ZUS COFFEE – THE SUMMER SHOPPING MALL,"Ground Floor, Island Kiosk, The Summer Shopping Mall, Lot 7455, Block 1, Jln Datuk Mohammad Musa, 94300 Kota Samarahan, Sarawak",1.4547136,110.4593988
Melaka,Jasin,"JASIN BESTARI, MELAKA","Ground Floor, JC 548, Jln Bestari 5, Bandar Jasin Bestari, 77200 Bemban, Melaka",2.2776827,102.3876503
Johor,Johor Bahru,"WATSONS TD SENTRAL, TAMAN DAYA","Ground Floor, No. 6C, Jalan Sagu 18, Taman Daya, 81100 Johor Bahru, Johor",1.5443438,103.7654544
Sarawak,Kuching,"ZUS COFFEE – THE NORTHBANK, KUCHING","Ground Floor, PL 18 / SL 4082, Lot 3146, Block 12, Muara Tebas Land District",1.6464281,110.4795369
Kedah,Kota Setar,"ZUS COFFEE DT – SHELL HUTAN KAMPUNG, ALOR SETAR","HSM 20792, PT 9103, HUTAN KAMPUNG, BANDAR ALOR SETAR, 05150 KOTA SETAR, KEDAH",6.111810999999999,100.375902
Melaka,Jasin,ZUS COFFEE – MERLIMAU,"JC 23, Ground Floor, Jalan BMU 1, Bandar Baru Merlimau Utara, 77300, Merlimau, Melaka",2.1680056,102.4313051
Pahang,Maran,ZUS COFFEE – JENGKA,"K-08 (Ground Floor), Lorong TARBP 6, Tun Abdul Razak Business Park, 26400 Bandar Pusat Jengka, Pahang Darul Makmur.",3.7552993,102.5403374
Selangor,Ulu Langat,ZUS COFFEE – AEON MALL CHERAS SELATAN,"KF3 & KF5, First Floor, Aeon Mall Cheras, Selatan, Jalan Cheras Perdana Cheras, 43200, Balakong, Selangor",3.0335617,101.7650425
Melaka,Alor Gajah,ZUS COFFEE – ALOR GAJAH,"KM 12-1 (Ground Floor), Jalan Perniagaan Jelatang 1, Pusat Perniagaan Jelatang, 78000 Alor Gajah, Melaka",2.3781345,102.2090762
Negeri Sembilan,Port Dickson,ZUS COFFEE – PD WATERFRONT,"Kedai 2 (Glass House), PD Waterfront, 1-02-1, Persiaran Waterfront, 1st Mile, 71000 Port Dickson, Negeri Sembilan",2.5219036,101.8027087
Sabah,Kota Kinabalu,ZUS COFFEE – SURIA SABAH SHOPPING MALL,"Kiosk-LG-K8, Lower Ground Floor, Jalan Tun Fuad Stephens, 88000 Kota Kinabalu, Sabah, Malaysia",5.9823039,116.0715399
Selangor,Petaling,ZUS COFFEE – DAMANSARA DAMAI,"L-013 (Ground Floor), Vista Shop, Jalan PJU 10/2A, Damansara Damai,47830 Petaling Jaya, Selangor",3.1951016,101.5932301
Pahang,Kuantan,ZUS COFFEE – EAST COAST MALL,"L2-39. East Coast Mall. Jalan Putra Square 6, Putra Square, 25200 Kuantan, Pahang.",3.818357499999999,103.3262428
Johor,Johor Bahru,ZUS COFFEE – SUTERA MALL,"L2-550k, Sutera Mall, Jalan Sutera Tanjung 8/4, 81300 Skudai, Johor",1.517129,103.6714742
Kedah,Kota Setar,ZUS COFFEE – AMAN CENTRAL,"LG-K28 & K29. Aman Central, 1, Darul Aman Hwy, Kampung Lubok Peringgi, 05100 Alor Setar, Kedah",6.125047899999999,100.3664892
Pulau Pinang,Seberang Perai Selatan,ZUS COFFEE – IKEA BATU KAWAN LINK BUILDING (KLIPPA),"LG.07, Lower Ground Floor, IKEA Batu Kawan Link Building, 752, Persiaran Cassia Selatan, 8, Lebuhraya Bandar Cassia, 14110 Simpang Ampat, Penang",5.2334412,100.4411195
Pulau Pinang,Seberang Perai Selatan,NIBONG TEBAL C-MART,"LOT 72A, 74A, 76A, NO. 3974, Jalan Industri Cenderawasih Kompleks Industri Cenderawasih, LOT 5631, MK 11, 14300 Nibong Tebal, Pulau Pinang",5.1664331,100.5085166
Selangor,Petaling,ZUS COFFEE – CENTREPOINT BANDAR UTAMA,"LOT F103, First Floor, Centrepoint Bandar Utama, 3, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",3.137466,101.609805
Terengganu,Kuala Terengganu,ZUS COFFEE – KTCC MALL KUALA TERENGGANU,"LOT G-17, KTCC Mall, 219, Jalan Sultan Zainal Abidin, 20200 Kuala Terengganu, Terengganu",5.3316282,103.1483963
Selangor,Sepang,ZUS COFFEE – SHAFTSBURY SQUARE,"Level P1-23, Lot 2350, Shaftsbury Square, Cyber 6, 63000 Cyberjaya, Selangor",2.9234161,101.6613419
W.P. Kuala Lumpur,W.P. Kuala Lumpur,ZUS COFFEE – SUNWAY VELOCITY MALL,"Lot 1-22, First Floor, Lingkaran SV2, Sunway Velocity Mall, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.127871400000001,101.7248453
Johor,Johor Bahru,ZUS COFFEE – ANGSANA JOHOR BAHRU,"Lot 1.22, First Floor, Angsana Johor Bahru Mall, Skudai Lbh, Pusat Bandar Tampoi, 81200 Johor Bahru, Johor",1.495536,103.7056086
