state,district,name,address,lat,lng
Selangor,Petaling,ZUS COFFEE – PLAZA SHAH ALAM,"S19, Second Floor, Jalan Tengku Ampuan Zabedah E 9/E, Seksyen 9, 40100 Shah Alam, Selangor",3.0855276,101.5229119
Kelantan,Kota Bharu,ZUS COFFEE – AEON MALL KOTA BHARU,"S47 & S48B, Second Floor, AEON Mall Kota Bharu, Lembah Sireh, 15050 Kota Bharu, Kelantan",6.1089746,102.2300461
Melaka,Alor Gajah,ZUS COFFEE – KUALA SUNGAI BARU,"SI 15, Ground Floor, Jalan Sungai Baru Ilir Jaya Utama, Taman Sungai Baru Ilir Jaya, 78300 Masjid Tanah, Melaka.",2.366348,102.0512475
Melaka,Alor Gajah,"MASJID TANAH, MELAKA","SU 1443 (Ground Floor), Jalan Masjid Tanah Ria Utama, Taman Masjid Tanah Ria, 78300 Masjid Tanah, Melaka",2.3515438,102.1162641
Sarawak,Kuching,ZUS COFFEE – THE HILLS KUCHING,"Shop 22, Lower Ground Floor, The Hills, Interhill Place, 8, Jalan Bukit Mata Kuching, 93100 Kuching, Sarawak",1.5556253,110.3510513
Selangor,Sepang,ZUS COFFEE – SHELL CYBERJAYA AUTOVILLE,"Stesen Minyak Shell Autoville, Persiaran Mutilmedia, Cyber 10, 63000, Cyberjaya, Selangor",2.9182596,101.6306655
Sarawak,Kuching,ZUS COFFEE – GALACITY KUCHING,"Sub Lot 80, Ground Floor, Galacity Kuching, alan Datuk Tawi Sli 3rd Exchange Commercial Centre, 93250 Kuching, Sarawak",1.5087268,110.3354475
Sarawak,Kuching,ZUS COFFEE – METROMALL @ METROCITY SQUARE,"Sublot No. 8, Ground Floor, MetroMall @ Metrocity Square, Survey Lot 13767 Section 6, Kuching Town Land District Metrocity Sqaure Boutique Shops",1.5679417,110.3074872
Johor,Johor Bahru,"SUTERA MALL, JOHOR","Sutera Mall, L2-550k, Jalan Sutera Tanjung 8/4, 81300 Skudai, Johor",1.517129,103.6714742
Pahang,Jerantut,ZUS COFFEE – BANDAR BARU JERANTUT,"TT6, Tingkat 1, Jalan Dulang 1, Bandar Baru, 27000 Jerantut, Pahang.",3.939099699999999,102.3610753
Negeri Sembilan,Seremban,PALM MALL SEREMBAN,"UG-29, Palm Mall, Jalan Sungai Ujong, 70200 Seremban, Negeri Sembilan Darul Khursus.",2.7198558,101.9229003
W.P. Putrajaya,W.P. Putrajaya,ZUS COFFEE – SUASANA PJH PRESINT 2,"Unit A-G-R10 & A-G-R11, Block A, Suasana PjH, Jalan Tun Abdul Razak, Presint 2, 62100 Putrajaya",2.925546,101.6871191
Pulau Pinang,Seberang Perai Tengah,SEBERANG PERAI,"Unit B1-G-12, Elevate 1, Lorong Pauh Jaya 1/3, Taman Pauh Jaya, 13500 Permatang Pauh, Seberang Perai Tengah",5.3701628,100.415582
Perak,Kinta,ZUS COFFEE – IPOH PARADE,"Unit G03, Ipoh Parade Mall, 105, Jalan Sultan Abdul Jalil, Pusat Perdagangan Greentown, 30450 Ipoh, Perak.",4.597172,101.090072
Kedah,Langkawi,ZUS COFFEE – LANGKAWI MAHA TOWER,"Unit L1A-01, MAHA Tower Langkawi, Kuah, 07000 Langkawi, Kedah",6.3200889,99.84584509999999
Selangor,Sepang,ZUS COFFEE – UNIVERSITI MALAYA CENTRE FOR CONTINUING EDUCATION,"VIP Dining, Cyberview 23, Jalan Teknokrat 3, Cyber 4, 63000 Cyberjaya, Selangor",2.926345,101.655077
Terengganu,Kuala Nerus,ZUS COFFEE – UNIVERSITI SULTAN ZAINAL ABIDIN (LAMAN SELERA),"ZUS Coffee @ Laman Selera, Universiti Sultan Zainal Abidin, Kampus Gong Badak, 21300 Kuala Terengganu, Terengganu",5.3975616,103.0780128
