state,district,name,address,lat,lng,business_status
Johor,Johor Bahru,STARBUCKS TOPPEN SHOPPING CENTRE,"L1.52, Level 1, Toppen Shopping Centre, 33, Jln Harmonium, 81100 Johor Bahru, Malaysia",1.552795,103.798475,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS TPM DT,"Jalan Teknologi 8, Taman Teknologi Malaysia, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.054851,101.70443,OPERATIONAL
Kelantan,Kota Bharu,STARBUCKS TROIKA KOTA BHARU,"Lot 1-10 & 1-11, Troika, Jalan Mahmood, Bandar Kota Bharu, 15200 Kota Bharu, Kelantan, Malaysia",6.121004,102.241119,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS TROPIKA BUKIT JALIL,"Lot No G-05, Ground Floor, E-G-5, Jalan Jalil Perkasa 3, Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.05301,101.678139,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS TTDI,"Lot A & B, No 20-G, Jalan Tun Mohd Fuad 1, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.141695,101.629161,OPERATIONAL
Selangor,Gombak,STARBUCKS UKAY PERDANA DT,"No. PT 5765, Seksyen 2, Bandar, Taman Bukit Mulia, 68000 Ampang Jaya, Selangor, Malaysia",3.197274,101.775643,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS UNITED POINT,"Unit G-25, Ground Floor, Pusat Perdagangan Berpadu (United Point, 10, Jalan Lang Emas, 51200 Kuala Lumpur, Malaysia",3.190517,101.654068,OPERATIONAL
Selangor,Petaling,STARBUCKS UOA BUSINESS PARK,"Unit 1-1, Level 1, The Podium, Tower 3, UOA Business Park, 1, Jalan Pengaturcara U1/51, Seksyen U1, 40150, Selangor, Malaysia",3.086147,101.586938,OPERATIONAL
Selangor,Petaling,STARBUCKS UPTOWN 1,"110G, Jalan SS 21/39, Damansara Utama, 47400 Petaling Jaya, Selangor, Malaysia",3.133344,101.621359,OPERATIONAL
Pulau Pinang,Seberang Perai Selatan,STARBUCKS USM,"Universiti Sains Malaysia, Nibong Tebal, Pulau Pinang, Malaysia",5.150262,100.495059,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS VIVA HOME,"Level LG-46, VIVA Shopping Mall, Jln Loke Yew, Malaysia",3.122544,101.719097,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS WANGSA WALK,"Lot G-26 AG-26, Ground Floor, Wangsa Walk Mall, 9, Jalan Wangsa Perdana 1, Taman Sri Rampai, 53300 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.198409,101.742254,OPERATIONAL
Sabah,Kota Kinabalu,"STARBUCKS WARISAN SQUARE, KOTA KINABALU","Warisan Square, Lot No. 8, Ground & 1st Floor, Block C, Jln Tun Fuad Stephens, 88000, Sabah, Malaysia",5.979048,116.070878,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS WISMA CIMB,"50350, Jalan Pantai Baharu, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.117102,101.667688,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS WISMA HB,"A-0-1 (Front Portion), Ground Floor, Block A, Wisma HB, Megan Avenue II, 12, 50450, Federal Territory of Kuala Lumpur, Malaysia",3.161764,101.711874,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS WISMA UOA,"19-1-2, Ground Floor, UOA Centre, 50450, Federal Territory of Kuala Lumpur, Malaysia",3.152685,101.711954,OPERATIONAL
Selangor,Ulu Langat,STARBUCKS ÆON CHERAS SELATAN,"Lot G31, ÆON, Cheras Selatan Shopping Centre, Lebuh Utama Tun Hussein Onn, Tun Hussein Onn, 43200 Cheras, Selangor, Malaysia",3.033257,101.765127,OPERATIONAL
W.P. Labuan,W.P. Labuan,STARBUCKS LABUAN AIRPORT LOT,"NO. L1L06, LEVEL 1, LABUAN AIRPORT, JALAN TUN MUSTAPHA, TAMAN SEC AIRPORT, 87015, LABUAN",5.294416080589258,115.2494513665717,OPERATIONAL
