state,store,address,status
Johor,Aeon Taman University,"Lot LG-05, Aeon Taman University, No 4, Jalan Pendidikan Taman Universiti, 81300, Skudai, Johor",Open
Johor,Aeon Tebrau,"Aeon Tebrau City Shopping Centre, Lot KS06, 1, Jalan Desa Tebrau, Taman Desa Tebrau, 81100, Johor Bahru, Johor",Open
Kedah,Aman Central,"4-K06, Aman Central, 1, Darul Aman Hwy, Kampung Lubok Peringgi, 05100, Alor Setar, Kedah",Open
Kedah,Amanjaya,"P38-P41, Lot 2, Amanjaya, 1, Jalan Badlishah, Bandar Amanjaya, 08000, Sungai Petani, Kedah",Open
W.P. Kuala Lumpur,Ampang Point,"Ampang Point, GE02 & PS02, 53, Jln Mamanda 9, Taman Dato Ahmad Razali, 68000, Ampang, Kuala Lumpur",Open
Johor,Angsana Mall,"Lot L1-37, Angsana Johor Bahru Mall, Skudai Lbh, Pusat Bandar Tampoi, 81200, Johor Bahru, Johor",Open
W.P. Kuala Lumpur,Avenue K,"152, Jalan Ampang, 55000, KLCC, WP Kuala Lumpur",Open
Selangor,Bandar Puteri Puchong,"No. 31, Floor G, Jalan Puteri 1/6, Section Bandar Puteri, 47100, Puchong, Selangor",Open
Selangor,Bangi KIP Mall,"GK-10 & GK-11, No. 1 Jalan Medan Bangi Business Park Bangi Golf Resort) Off, Persiaran Kemajuan, Seksyen 6, 43650, Bandar Baru Bangi, Selangor",Open
Selangor,Banting,"No.7-GF, Jalan Cemerlang 1, Pusat Perniagaan Banting, 42700, Banting, Selangor",Open
Johor,Batu Pahat Mall,"Batu Pahat Mall, Lot GK39 & GK40, G Floor, Jln Kluang, 83000, Batu Pahat, Johor",Open
Johor,Batu Pahat Shoplot,"12, Jalan Desa Botani 2, Taman Desa Botani, 83000, Batu Pahat, Johor",Open
W.P. Kuala Lumpur,Berjaya Times Square,"K-01-03C, Berjaya Time Square, 1, Jalan Imbi, 55100, Bukit Bintang, WP Kuala Lumpur",Open
W.P. Kuala Lumpur,Bloomsvale Shopping Gallery,"LGK-31,32,33, Bloomsvale, 137, Jalan Puchong, 58200, Kuala Lumpur, Selangor",Open
Kedah,C Mart Serai Wangi,"No 52, Lot PT 6413, H.S.(D) 78056, Mukim Bandar Padang Serai, 09400, Kulim, Kedah",Open
Pulau Pinang,C-Mart Nibong Tebal,"Lot No.G80, Kompleks Industri Cenderawasih, Jln Besar, Taman Perindustrian Nibong Tebal, 14300, Nibong Tebal, Pulau Pinang",Open
Sabah,Centre Point Sabah,"1, Lorong Centre Point, Pusat Bandar Kota Kinabalu, 88000, Kota Kinabalu, Sabah",Open
Kedah,Changlun @ Brewing Soon,"Lot No 79A, Jalan PKC 3, Pusat Komersial Changloon, 06010, Changlun, Kedah",Open
Selangor,D'Pulze Cyberjaya,"Lot UG 22, DPulze, Lingkaran Cyber Point Timur Cyber 12, 63000, Cyberjaya, Selangor",Open
W.P. Kuala Lumpur,Dataran Maybank Bangsar,"Dataran Maybank, No 1, Jalan Maarof, 59000, Bangsar, WP Kuala Lumpur",Open
W.P. Kuala Lumpur,Datum Jelatek Mall,"LG-K-08, Datum Jelatek Mall, Jalan Enggang, Taman Keramat, 54200, Kuala Lumpur, WP Kuala Lumpur",Open
Selangor,Denai Alam,"No 3, Ground Floor, Jalan Elektron U16/F, Denai Alam, 40150, Shah Alam, Selangor",Open
Selangor,Desa Coalfield KIP Mall,"KIPMall Desa Coalfields, 47000, Sungai Buloh, Selangor",Open
Selangor,Diner The Curve,"Lot No. GZF-01 - GZF-03, The Curve, Ground Floor, Mutiara Damansara, 47800, Petaling Jaya, Selangor",Open
Pahang,East Coast Mall,"L2-31, Jalan Putra Square 6, Putra Square, 25200, Kuantan, Pahang",Open
Selangor,Elmina Temu Shop,"NO 17-G, JALAN ESERINA, AA U16/AA, ELMINA, 40160, Shah Alam, Selangor",Open
Selangor,Emporis,"F-01-01 Emporis, Persiaran Surian, Kota Damansara, 47810, Petaling Jaya, Selangor",Open
Selangor,Evo Mall,"G.K02, Ground Floor, Evo Mall, Jalan Pusat Bandar 2, Seksyen 9, 43650, Bandar Baru Bangi, Selangor",Open
W.P. Kuala Lumpur,Faber Tower,"LOT G-OS-4C, Ground Floor, Faber Tower, Jalan Desa Bahagia, Taman Desa, 58100, Kuala Lumpur, WP Kuala Lumpur",Open
Pulau Pinang,Gurney Plaza,"Gurney Plaza, Plaza Gurney, 170-B1-K7, Persiaran Gurney, 10250, George Town, Pulau Pinang",Open
Selangor,Home Barista,"No.11, Jalan Kajibumi U1/70, Temasya Niaga, Temasya, Persiaran Kerjaya, Seksyen U1, 40150, Shah Alam, Selangor",Open
Selangor,I-City,"L1-K02, Level 1, I-City, Jalan Multimedia, Seksyen 7, 40000, Shah Alam, Selangor",Open
Selangor,Ikano Power Centre,"G.25,IPC Shopping Centre 2 Jalan PJU 7/2, Mutiara Damansara, 47800, Petaling Jaya, Selangor",Open
Pahang,Indera Mahkota Kuantan,"No 33, Lorong IM 3/19, Bandar Indera Mahkota, 25200, Kuantan, Pahang",Open
