state,district,address,lat,lng
Selangor,Petaling,"Sunway Pyramid  Lot G1 Rink, Ground Floor, Sunway Pyramid Shopping Mall No. 3 Jln PJS 11/15 Bandar Sunway Selangor",3.0703398,101.6076732
Negeri Sembilan,Seremban,"Seremban Gateway No. 9-G, Gerbang Seremban Off Jalan Sungai Ujong Seremban Negeri Sembilan",2.7165001,101.919414
Pulau Pinang,Seberang Perai Selatan,"Setia Sentral Penang No:3&5, Lorong Setia Sentral 1, Pusat Perniagaan Setia Sentral Bukit Mertajam Penang",5.263234100000001,100.4846227
Pulau Pinang,Barat Daya,"Solaria Square Lot G-1, Solaria Square, Medan Rajawali, Kampung Perlis Bayan Lepas Penang",5.300138899999999,100.2661972
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Setapak Central Mall Unit G13, Ground Floor, Setapak Central No.67, Jalan Taman Ibu Kota Taman Danau Kota Setapak Federal Territories Kuala Lumpur",3.205435,101.7199889
Johor,Johor Bahru,"Setia Tropika Drive Thru Tropika Welcome Centre Lot GF-03A, No. 10 Jalan Setia Tropika 1/21, Taman Setia Tropika Johor Bahru Johor",1.5486983,103.7169113
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Sentul Point AG-20, Ground Floor, Puncak Sentul, No:8, Jalan Sentul Perdana Sentul",3.2019286,101.6893558
Pulau Pinang,Barat Daya,Summerton Penang 110-01-20 Summerton Persiaran Bayan Indah Bayan Lepas Penang,5.3388678,100.3088008
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Sunway Velocity G-73, G-74 & G-75 Sunway Velocity Mall, Lingkaran SV, Sunway Velocity Kuala Lumpur Federal Territories Kuala Lumpur",3.127871400000001,101.7248453
Selangor,Petaling,"Tropicana Avenue P-G-03, Tropicana Avenue, Persiaran Tropicana Golf & Country Resort Petaling Jaya Selangor",3.128983,101.599839
Selangor,Petaling,"3 Damansara G-PPK 3, Ground Floor, 3 Damansara No. 3 Jalan SS 20/27 Petaling Jaya Selangor",3.1304749,101.6269411
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Sinaran TTDI Unit No. 6-2-0 (Ground Floor) Sinaran TTDI, Jalan Tun Mohd Fuad 4 Taman Tun Dr Ismail Kuala Lumpur Federal Territories Kuala Lumpur",3.1409178,101.6274878
Selangor,Petaling,"Tropicana Gardens Mall Lot CC-51 & CC-51A, Concourse Floor No. 2A, Persiaran Surian, Tropicana Indah Petaling Jaya Selangor",3.149194,101.5931032
Selangor,Petaling,"Taipan USJ No.2G, Ground Floor USJ10/1E, Taipan Business Centre Subang Jaya Petaling Jaya Selangor",3.0485735,101.583823
W.P. Kuala Lumpur,W.P. Kuala Lumpur,Wisma Genting Ground Floor Wisma Genting Jalan Sultan Ismail Kuala Lumpur Federal Territories Kuala Lumpur,3.1506026,101.7110105
Johor,Muar,"Wetex Parade G01 & 02, Wetex Parade, No. 69 Jalan Ali Muar Johor",2.0445951,102.5662887
Pulau Pinang,Seberang Perai Tengah,"Caltex Sungai Dua Caltex Sg Dua North Bound, PMT",5.422931699999999,100.4129362
Selangor,Sepang,"KLIA Level 3 Lot No. MTB-3-L12, Level 3, Main Terminal Building KL International Airport,",2.7417476,101.7015569
Pulau Pinang,Seberang Perai Tengah,"Gravitas Penang Unit B2-G-29 & 30, Elevate 1, Lorong Pauh Jaya 1/3, Taman Pauh Jaya, Seberang Perai Tengah,Permatang Pauh Penang",5.3699654,100.4159685
Selangor,Klang,"UNO Bukit Raja No. 1, Jalan Astaka, 1E/KU2, Bandar Bukit Raja Klang Selangor",3.0909755,101.4532138
